Site,Date,Month,Species,Functional_Group,sci_name,fish,cots,cots_density_ha,fish_density_ha,Survey_ID
green rock,2022-10-01,2022-10-01,lrg_Grouper,HTLP,Epinephelus spp.,1,10,50,5,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,lrg_Snapper,HTLP,Lutjanus spp.,1,10,50,5,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,41,10,50,205,green rock-01-Oct-22
green rock,2023-10-01,2023-10-01,Angelfish,Invertivore,Pomacanthus spp.,3,5,25,15,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Butterflyfish,Herbivore,Chaetodon spp.,71,5,25,355,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,32,5,25,160,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Emperorfish,Mesopredator,Lethrinus spp.,7,5,25,35,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Parrotfish,Herbivore,Scarus spp.,101,5,25,505,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Rabbitfish,Herbivore,Siganus spp.,29,5,25,145,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Red_Breast,Invertivore,Cheilinus fasciatus,15,5,25,75,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Slingjaw,Invertivore,Epibulus insidiator,8,5,25,40,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,3,5,25,15,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,5,25,0,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Thicklip,Invertivore,Hemigymnus melapterus,11,5,25,55,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Trevally,HTLP,Caranx spp.,9,5,25,45,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,Triggerfish,Invertivore,Balistidae spp.,10,5,25,50,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,lrg_Grouper,HTLP,Epinephelus spp.,7,5,25,35,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,lrg_Snapper,HTLP,Lutjanus spp.,0,5,25,0,green rock-01-Oct-23
green rock,2023-10-01,2023-10-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,39,5,25,195,green rock-01-Oct-23
green rock,2024-02-01,2024-02-01,Angelfish,Invertivore,Pomacanthus spp.,10,7,35,50,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Butterflyfish,Herbivore,Chaetodon spp.,45,7,35,225,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,8,7,35,40,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Emperorfish,Mesopredator,Lethrinus spp.,9,7,35,45,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Parrotfish,Herbivore,Scarus spp.,124,7,35,620,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Rabbitfish,Herbivore,Siganus spp.,44,7,35,220,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Red_Breast,Invertivore,Cheilinus fasciatus,7,7,35,35,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Slingjaw,Invertivore,Epibulus insidiator,6,7,35,30,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,8,7,35,40,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,7,35,0,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Thicklip,Invertivore,Hemigymnus melapterus,8,7,35,40,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Trevally,HTLP,Caranx spp.,3,7,35,15,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,Triggerfish,Invertivore,Balistidae spp.,6,7,35,30,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,lrg_Grouper,HTLP,Epinephelus spp.,7,7,35,35,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,lrg_Snapper,HTLP,Lutjanus spp.,1,7,35,5,green rock-01-Feb-24
green rock,2024-02-01,2024-02-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,33,7,35,165,green rock-01-Feb-24
green rock,2024-03-19,2024-03-01,Angelfish,Invertivore,Pomacanthus spp.,6,5,25,30,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Butterflyfish,Herbivore,Chaetodon spp.,78,5,25,390,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,18,5,25,90,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Emperorfish,Mesopredator,Lethrinus spp.,2,5,25,10,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Parrotfish,Herbivore,Scarus spp.,91,5,25,455,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Rabbitfish,Herbivore,Siganus spp.,27,5,25,135,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Red_Breast,Invertivore,Cheilinus fasciatus,13,5,25,65,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Slingjaw,Invertivore,Epibulus insidiator,5,5,25,25,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,0,5,25,0,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,5,25,0,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Thicklip,Invertivore,Hemigymnus melapterus,6,5,25,30,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Trevally,HTLP,Caranx spp.,3,5,25,15,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,Triggerfish,Invertivore,Balistidae spp.,4,5,25,20,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,lrg_Grouper,HTLP,Epinephelus spp.,3,5,25,15,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,lrg_Snapper,HTLP,Lutjanus spp.,1,5,25,5,green rock-19-Mar-24
green rock,2024-03-19,2024-03-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,18,5,25,90,green rock-19-Mar-24
green rock,2024-04-24,2024-04-01,Angelfish,Invertivore,Pomacanthus spp.,2,8,40,10,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Butterflyfish,Herbivore,Chaetodon spp.,31,8,40,155,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,14,8,40,70,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Emperorfish,Mesopredator,Lethrinus spp.,0,8,40,0,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Parrotfish,Herbivore,Scarus spp.,25,8,40,125,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Rabbitfish,Herbivore,Siganus spp.,59,8,40,295,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Red_Breast,Invertivore,Cheilinus fasciatus,4,8,40,20,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Slingjaw,Invertivore,Epibulus insidiator,2,8,40,10,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,0,8,40,0,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,8,40,0,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Thicklip,Invertivore,Hemigymnus melapterus,4,8,40,20,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Trevally,HTLP,Caranx spp.,1,8,40,5,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,Triggerfish,Invertivore,Balistidae spp.,1,8,40,5,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,lrg_Grouper,HTLP,Epinephelus spp.,1,8,40,5,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,lrg_Snapper,HTLP,Lutjanus spp.,0,8,40,0,green rock-24-Apr-24
green rock,2024-04-24,2024-04-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,29,8,40,145,green rock-24-Apr-24
green rock,2024-06-24,2024-06-01,Angelfish,Invertivore,Pomacanthus spp.,2,8,40,10,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Butterflyfish,Herbivore,Chaetodon spp.,38,8,40,190,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,32,8,40,160,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Emperorfish,Mesopredator,Lethrinus spp.,3,8,40,15,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Parrotfish,Herbivore,Scarus spp.,99,8,40,495,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Rabbitfish,Herbivore,Siganus spp.,16,8,40,80,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Red_Breast,Invertivore,Cheilinus fasciatus,20,8,40,100,green rock-24-Jun-24
